context,utterance,implicature
Are you enjoying the neighborhood?,Everyone seems nice.,1
Do you make any music?,I fool around on drums with friends.,1
Do you still like emo?,I am not a fam,0
Are you planning to move there permanently?,I hope to do that,1
Are you skilled with the guitar?,I haven't tried the guitar yet.,0
Do you smoke a lot?,I have never smoke,0
Want to go dancing tonight?,My feet hurt from standing all day.,0
Have you seen the new Netflix series?,I'm busy with work right now,0
Have you gone rock climbing recently?,I am afraid of that sport.,0
Do you want to leave the job?,As soon as I can find a new one.,1
Can you still do that funny thing with your tongue?,You remembered!,1
Are you into hiking?,Walking in the great outdoors is one of my favourite pastimes.,1
Have you got the energy to party tonight?,I might be able to go out after a nap.,1
Are you still as fun as you were when we were young?,I can be a blast when I feel like it.,1
Does it have windows?,There's a wall of windows.,1
Do you listen to classical?,I prefer pop.,0
Can you see yourself living in a condo?,Condo living is my dream.,1
Do you know what you'll do there?,I have a rough idea,1
Have you read about the city?,I'm thinking about it.,0
Have you already researched some places?,I have a few in mind.,1
Have you read \\\\Harry Potter\\\\\\?\\,Everyone has read it except for me.,0
Do you manage people at your current position?,I'm responsible for a large team.,1
Are you interested in history or historical novels?,I like both.,1
Is it just you and your husband that live here?,Our kids are here too.,0
Are you a fan of meat?,If it's white meat.,1
Do you want to listen to screamo?,That sounds loud!,0
Do you want something sweet?,How about sharing a dessert?,1
Do you like reading graphic novels?,They don't call to me.,0
Aren't you happy it's Friday?,so happy it's Friday,1
Do you like to work out?,I go to the gym twice a day.,1
Do you go to movies for the weekends?,If the movie is good,1
Are you any good at water volleyball?,I can't swim.,0
How often do you eat spicy food?,Spicy food makes me sick.,1
Have you ever worked with horses?,I worked on a dude ranch for 5 years in Montana.,1
Do you have kids?,We have fur babies.,0
Any thoughts on what you'd do instead?,I think I'd like to do something related to travel.,1
Do you enjoy spending time with family on the weekend?,Sundays are the best days to catch up with my mom and sisters.,1
Would you like to see a movie?,I'd rather eat something.,0
Did you attend the latest Madonna concert?,I missed her the last time she was here.,0
Would you like to grab a coffee?,I only drink tea.,0
Are you a fan of nonfiction?,Depends on what the nonfiction is.,1
Did you have a passion for thriller novels?,I only read thrillers.,1
Have you ever read any of the classics?,I have read a few of them,1
Are you happy with the flat?,I like the flat,1
Is your budget under $10?,I'm not that tight!,0
Do you get bored at your current job?,Daydreaming is how I manage.,1
Will this be the first time for you living in NY?,I grew up there as a child.,0
Have you been to SXSW?,I'm not familiar with SXSW.,0
Want to get together this weekend?,That would be fun!,1
Are you lactose intolerant?,I can only eat dairy sparingly.,1
Did you go to that Argentinian restaurant last weekend ?,I went to McDonald's instead.,0
Have you thought about your commute to work?,I would like to walk if I can,1
Do you want to look through the museum?,I haven't got the energy.,0
Do you work in the area?,I work across town.,0
Did you have a good day today?,It wasn't too bad,1
Do you like burgers?,Once a week I eat burgers.,1
Do you like getting a massage?,I'm not a fan of being touched.,0
Do you sing along to the radio?,"I love singing in the shower, to the radio, you name it.",1
Do you enjoy the science fiction genre?,I never seem to choose those.,0
Are you a Stephen King fan?,I read some of his early works.,1
Can you afford the expensive rent?,I can pay whatever is necessary.,1
Will this be your first time in New York?,I have been dreaming of this.,1
Would you like to have a bar-b-que?,Let's invite everyone over.,1
Do you want a new challenge?,I've been so bored t work.,1
Are your parents doing good?,They are fine,1
Are you a big fan of romance novels?,I prefer fantasy with a little romance thrown in.,0
Want to see a movie together?,I'm down!,1
Do you want to go to a sit-down restaurant?,I'd like to use a drive-thru,0
Do you still have your pet hamster?,He died 20 years ago.,0
Have you considered freelancing?,I have thought about it,1
Do you own a pet?,I own twenty cats.,1
Are you busy tonight?,I have plans with a friend,1
