id,context,utterance,implicature,implicature2
0,Are you employed?,I'm a veterinary technician.,1,Yes
1,Are you a fan of Korean food?,I wouldn't say so,0,No
2,Are you bringing any pets into the flat?,I do not own any pets,0,No
3,Would you like to get some fresh air in your free time?,I am desperate to get out of the city.,1,Yes
5,Do you like to read self-help books?,I'm not a fan of them,0,No
6,Do you enjoy foreign cuisine?,I like many cuisines.,1,Yes
7,Is your new job going well?,I love what I do.,1,Yes
8,Are long books your thing?,I rarely read any other type of book.,1,Yes
9,Have you had pizza recently,My husband ordered some last night.,1,Yes
10,Is the apartment big enough?,All of my stuff will fit.,1,Yes
11,Do you feel passionately about your position or your industry?,I wish I felt more.,0,No
12,Do you enjoy playing any sports?,Basketball is a lot of fun.,1,Yes
13,Do you like Rnb?,I like some of it,1,Yes
14,Do you play the guitar?,I did at a time,1,Yes
15,Do you like beer with your Pizza?,That is very gross.,0,No
16,Are you taking any animals?,I'll bring my dog.,1,Yes
17,Do you want to have a BBQ this evening?,I already have plans,0,No
18,Do you like any sports?,Tennis is fun to play.,1,Yes
19,Do you talk to any of our old friends?,Only to Shannon.,1,Yes
20,Will you be working tomorrow?,I managed to finish everything today.,0,No
21,Do you enjoy art?,Going to art museums is my favorite pastime.,1,Yes
22,Is your family still living in the neighborhood?,Just down the street.,1,Yes
23,Did you buy any sci-fi books recently?,I picked up two last weekend.,1,Yes
24,Do you like sports?,I play tennis every weekend.,1,Yes
25,Did you drive straight here?,I had to stop at my mom's house.,0,No
26,Are you enjoying your job?,It's gotten really interesting.,1,Yes
27,Have you got an allergy to nuts?,I'm not allergic to anything.,0,No
28,Do you like to BBQ?,I love to bbq,1,Yes
29,Are you interested in sporting events?,Only if my teams are playing.,1,Yes
30,Do you travel any?,Once a week.,1,Yes
31,Did you check your credit to see if you are able to apply for mortgage?,I'm paying in cash.,0,No
32,Are you still on a Paleo diet?,I have started on the Keto diet.,0,No
33,Do you like fantasy books?,I'm not familiar with any.,1,Yes
34,Do you like jazz music?,I think I should have been born in the Jazz Age.,1,Yes
35,Do you still like hiking?,I still try to hit the trails at least once a month.,1,Yes
36,Do you go bar hoping often?,I don't drink anymore.,0,No
37,Did you consult with your partner/parents?,I haven't spoken to my partner in ages.,0,No
38,How do you like the area?,The mountains are awesome.,1,Yes
39,Do you need a lot of space?,I could do with a small studio.,0,No
40,Want to get a pedicure?,My toes are a mess.,1,Yes
41,Is your job a manual labor?,I get a lot of exercise all day at work.,1,Yes
42,Have you met the other neighbors?,I have met a few of them,1,Yes
43,Was the travel tiring?,It was exciting,0,No
44,Has this work week gone quickly for you?,It's gone very slowly.,0,No
45,Have you stayed in touch with anyone from school?,I really haven't,0,No
46,Have you lived in New York before?,I've only been there for vacation.,0,No
48,Do you want me to walk you to your car?,"That would be really nice, thanks.",1,Yes
49,Do you like food that are primarily barbecued?,it is okay to have sometimes,1,Yes
50,Are you a big meat-eater?,I prefer leafy greens.,0,No
51,Is your job close to home?,It's an hour away.,0,No
52,Have you researched the areas you are interested in?,I've been looking a lot online.,1,Yes
53,Do you like travelling?,In first class.,1,Yes
54,Do you have any pets?,I have a cat.,1,Yes
55,Do you enjoy sci-fi books?,My husband has gotten me into them.,1,Yes
56,Do you like to see live music?,if the band is good,1,Yes
57,Have you been bowling before?,"Years ago, and haven't been back since.",1,Yes
58,Are your mum and dad still alive ?,I'm an orphan.,0,No
59,Are you new in town?,I've just got here.,1,Yes
61,Do you like being outdoors?,I prefer outdoors,1,Yes
62,Do you want to meet up this weekend?,If I have a free moment.,1,Yes
63,Have you had sushi before?,"Sushi is raw, which is bad for my stomach.",0,No
64,Are you interested in trap music?,I don't know what that is,0,No
65,Have you heard Taylor Swift's new song?,I listened to it yesterday.,1,Yes
66,Is reading crime fiction something you like to do?,If it's not too creepy.,1,Yes
67,Do you enjoy playing any sports?,I like to read or watch TV.,0,No
68,Do you eat seafood?,I love catching my own fish and cooking it.,1,Yes
69,Do you enjoy living out of town?,I love living in the countryside.,1,Yes
71,Would you prefer a locally owned restaurant?,I never really dine at restaurant chains.,1,Yes
73,Do you like fantasy books?,Only when their plot is good.,1,Yes
74,Looking forward to this weekend?,I have been dreading it.,0,No
75,Are you new to this city?,I've been here all my life.,0,No
76,Was that biography that you read any good?,I thought it was forgettable.,0,No
77,Want to go dancing tomorrow night?,I'd rather see a movie.,0,No
78,Have you been looking for awhile?,I just started today.,0,No
79,Do you play golf on weekends?,I vowed I'd never play golf.,0,No
80,Do you watch a lot of romance movies?,I like horror movies.,0,No
81,Have you ever read horror novel books?,I have read a few.,1,Yes
82,Are you on a budget?,I would be at the minute,1,Yes
86,Do you want some time on your own to explore?,I really like poking around small shops off the beaten path.,1,Yes
87,Hey since the weather has gotten colder did you want to grab some potato soup?,that would be good,1,Yes
88,Have you been to a concert this month?,I went to one last night.,1,Yes
90,Did you bring everything you need?,I didn't have enough space for everything,0,No
91,Do you like steak?,Only if it's cooked rare.,1,Yes
92,Does it have to be in the city itself?,It can be on the outskirts,0,No
93,Want to go to the cinema?,I'd prefer to see the sights.,0,No
94,Do you have a date?,I'm meeting my kids.,0,No
95,Is is close to the Subway station?,It's just down the street.,1,Yes
